上櫃公布注意有價證券資訊 
期間:115/01/01~115/04/09，查詢範圍:全部上櫃有價證券
編號,證券代號,證券名稱,注意交易資訊,公告日期,收盤價,本益比
"56","6683","雍智科技","當日本益比為94.03、股價淨值比為14.67且為其所屬產業類別股價淨值比之3.84倍、當日週轉率達7.78%(第六款)","115/04/02","1450.00","94.03"
"57","6727","亞泰金屬","最近六個營業日(含當日)累積之最後成交價漲幅達27.18%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣77.5元(第一款)當日週轉率達10.55%(第四款)","115/04/02","358.00","52.65"
"58","7547","碩網","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達66.15%，當日之前一個營業日當日沖銷成交量占總成交量達70.73%（第十三款)","115/04/02","77.20","29.13"
"59","7734","印能科技","最近六個營業日(含當日)累積之最後成交價漲幅達26.24%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣530元(第一款)","115/04/02","2350.00","70.15"
"60","8027","鈦昇","當日本益比為N/A、股價淨值比為6.14且為其所屬產業類別股價淨值比之3.18倍、當日週轉率達18.72%(第六款)","115/04/02","154.50","N/A"
"61","8936","國統","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達11.05%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為4倍(第十二款)","115/04/02","51.10","12.52"
"62","3131","弘塑","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣270元(第十一款)","115/04/01","2930.00","64.42"
"63","31351","凌航一","最近六個營業日(含當日)累積之最後成交價跌幅達29.44%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣74元(第一款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣74元(第十一款)","115/04/01","207.00","N/A"
"64","3221","台嘉碩","最近六個營業日(含當日)之累積週轉率為94.85%，當日週轉率達18.51%(第十款)","115/04/01","38.80","485.00"
"65","3552","同致","最近六個營業日(含當日)累積之最後成交價漲幅達27.86%，當日之成交量較最近六十個營業日日平均成交量放大16.55倍(第三款)當日週轉率達5.99%(第四款)元大證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為37.53%(第五款)","115/04/01","59.60","88.96"
"66","4303","信立","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達11.53%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為6倍(第十二款)","115/04/01","55.30","4.96"
"67","4741","泓瀚","最近六個營業日(含當日)累積之最後成交價漲幅達41.15%(第一款)當日之成交量較最近六十個營業日日平均成交量放大9.83倍(第三款)當日週轉率達16.05%(第四款)","115/04/01","37.00","127.59"
"68","4903","聯光通","最近六個營業日(含當日)之累積週轉率為89.71%，當日週轉率達7.46%(第十款)","115/04/01","44.85","43.97"
"69","4971","IET-KY","最近六個營業日(含當日)累積之最後成交價漲幅達31%(第一款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達243.19%(第二款)","115/04/01","580.00","351.52"
"70","5475","德宏","當日本益比為N/A、股價淨值比為31.98且為其所屬產業類別股價淨值比之9.84倍、當日週轉率達5.47%、高橋證券公司當日賣出該有價證券之成交金額達2.41億元，且占當日該有價證券之總成交金額15.65%、單一投資人當日買進該有價證券之成交金額達2.02億元，且占當日該有價證券之總成交金額13.07%(第六款)","115/04/01","224.50","N/A"
"71","6127","九豪","最近六個營業日(含當日)之累積週轉率為85.9%，當日週轉率達37.53%(第十款)","115/04/01","43.50","92.55"
"72","6175","立敦","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達64.14%，當日之前一個營業日當日沖銷成交量占總成交量達73.96%（第十三款)","115/04/01","48.05","17.93"
"73","6588","東典光電","最近六個營業日(含當日)累積之最後成交價漲幅達33.95%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達166.33%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達369.02%(第二款)元大證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為75.4%(第五款)最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達66.06%，當日之前一個營業日當日沖銷成交量占總成交量達74.98%（第十三款)","115/04/01","132.50","N/A"
"74","6640","均華","最近六個營業日(含當日)累積之最後成交價漲幅達27.18%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣210元(第一款)","115/04/01","1390.00","109.02"
"75","6683","雍智科技","最近六個營業日(含當日)累積之最後成交價漲幅達33.69%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達109.31%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達257.48%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達286.39%(第二款)當日週轉率達7.37%(第四款)當日本益比為97.60、股價淨值比為15.23且為其所屬產業類別股價淨值比之3.89倍(第六款)","115/04/01","1505.00","97.60"
"76","6727","亞泰金屬","最近六個營業日(含當日)累積之最後成交價漲幅達27.06%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣47元(第一款)當日週轉率達5.15%(第四款)","115/04/01","325.50","47.87"
"77","6821","聯寶","最近六個營業日(含當日)累積之最後成交價漲幅達36.3%(第一款)","115/04/01","59.00","52.21"
"78","7709","榮田","最近六個營業日(含當日)累積之最後成交價漲幅達31.09%(第一款)當日之成交量較最近六十個營業日日平均成交量放大10.93倍(第三款)當日週轉率達12.4%(第四款)","115/04/01","72.50","29.23"
